"Latitud","Longitud","placas"
17.4325,-95.2753,"Norteamérica"
19.2203,-103.959,"Rivera"
18.0072,-103.089,"Rivera"
19.5197,-102.194,"Rivera"
21.74,-104.97,"Norteamérica"
17.4547,-95.5335,"Norteamérica"
15.3795,-94.6592,"Cocos"
21.7378,-100.238,"Norteamérica"
15.6543,-94.419,"Caribe"
24.577,-98.8902,"Norteamérica"
13.6123,-93.1878,"Caribe"
16.5823,-93.9965,"Caribe"
13.76,-93.01,"Caribe"
32.4695,-115.098,"Pacífico"
20.3693,-98.9343,"Norteamérica"
17.5485,-95.17,"Norteamérica"
14.9903,-92.9345,"Caribe"
17.0582,-100.565,"Cocos"
19.15,-98.34,"Norteamérica"
17.49,-101.62,"Cocos"
14.13,-92.48,"Caribe"
16.5985,-93.5483,"Caribe"
14.5322,-95.0953,"Cocos"
15.5595,-94.766,"Cocos"
17.96,-98.73,"Norteamérica"
19.5823,-102.172,"Rivera"
19.396,-99.206,"Norteamérica"
19.1985,-98.4777,"Norteamérica"
15.204,-94.3817,"Caribe"
19.471,-102.174,"Rivera"
30.71,-117.4,"Pacífico"
24.8315,-99.6823,"Norteamérica"
17.2998,-95.7003,"Norteamérica"
16.9047,-94.8032,"Cocos"
17.95,-98.19,"Norteamérica"
29.0235,-113.212,"Pacífico"
16.5333,-95.1275,"Cocos"
13.9503,-93.0673,"Caribe"
19.4079,-99.2054,"Norteamérica"
19.3937,-102.21,"Rivera"
18.3792,-102.742,"Rivera"
16.5643,-94.654,"Cocos"
17.47,-94.93,"Norteamérica"
15.32,-95.14,"Cocos"
17.4592,-94.8195,"Norteamérica"
31.3065,-115.217,"Pacífico"
16.2402,-98.078,"Cocos"
16.5438,-95.4192,"Cocos"
30.0968,-113.768,"Norteamérica"
21.2858,-104.28,"Norteamérica"
14.4548,-93.4245,"Caribe"
14.57,-90.41,"Caribe"
15.4097,-96.5048,"Cocos"
18.2378,-101.141,"Rivera"
21.3228,-106.599,"Norteamérica"
18.8382,-104.876,"Rivera"
14.988,-93.1905,"Caribe"
17.2785,-94.4223,"Norteamérica"
14.8093,-93.9033,"Caribe"
15.1033,-94.4335,"Caribe"
18.9,-103.42,"Rivera"
19.0302,-96.9577,"Norteamérica"
15.0945,-93.5758,"Caribe"
18.1002,-103.651,"Rivera"
17.4863,-95.0465,"Norteamérica"
24.686,-103.456,"Norteamérica"
19.3468,-99.1872,"Norteamérica"
16.2908,-95.3713,"Cocos"
31.6362,-113.625,"Norteamérica"
17.6298,-101.171,"Cocos"
29.752,-113.904,"Pacífico"
14.22,-91.84,"Caribe"
18.2368,-103.497,"Rivera"
14.352,-93.1633,"Caribe"
20.3758,-98.955,"Norteamérica"
17.1728,-99.7588,"Cocos"
25.2472,-109.811,"Norteamérica"
16.1067,-93.8197,"Caribe"
33,-116.39,"Pacífico"
24.3073,-109.149,"Pacífico"
29.7685,-113.665,"Norteamérica"
15.6628,-97.9615,"Cocos"
31.3522,-115.642,"Pacífico"
20.9258,-103.405,"Rivera"
25.1513,-99.1232,"Norteamérica"
14.482,-92.8857,"Caribe"
26.0867,-110.461,"Pacífico"
18.126,-103.396,"Rivera"
14.9298,-92.4245,"Caribe"
19.4198,-102.159,"Rivera"
16.3648,-97.8448,"Cocos"
19.4495,-102.229,"Rivera"
14.925,-94.3535,"Caribe"
14.9255,-94.1617,"Caribe"
17.473,-95.5248,"Norteamérica"
15.578,-93.0437,"Caribe"
24.764,-99.7858,"Norteamérica"
27.0872,-112.347,"Pacífico"
16.4192,-98.1957,"Cocos"
16.2565,-98.0938,"Cocos"
27.38,-111.39,"Norteamérica"
32.78,-115.85,"Pacífico"
17.54,-94.7,"Norteamérica"
19.42,-104,"Rivera"
14.34,-92.8,"Caribe"
16.1132,-97.5458,"Cocos"
21.2577,-106.322,"Norteamérica"
17.0395,-94.436,"Cocos"
17.4,-94.86,"Norteamérica"
31.4747,-115.508,"Pacífico"
16.0098,-94.6292,"Cocos"
29.9313,-113.718,"Norteamérica"
30.27,-109.64,"Norteamérica"
16.3123,-97.8352,"Cocos"
19.4818,-104.09,"Rivera"
32.45,-115.07,"Pacífico"
31.3175,-115.211,"Pacífico"
15.0587,-93.6582,"Caribe"
16.7553,-99.8622,"Cocos"
14.15,-92.16,"Caribe"
16.3405,-97.9022,"Cocos"
31.0365,-115.599,"Pacífico"
27.9645,-112.051,"Pacífico"
18.1103,-101.633,"Cocos"
26.7768,-111.988,"Pacífico"
27.3515,-111.289,"Norteamérica"
15.825,-93.3373,"Caribe"
19.395,-102.204,"Rivera"
15.1478,-93.7998,"Caribe"
24.7098,-109.131,"Norteamérica"
31.4905,-115.548,"Pacífico"
19.4307,-102.152,"Rivera"
32.3718,-115.304,"Pacífico"
16.6575,-94.6098,"Cocos"
16.7333,-99.6688,"Cocos"
14.592,-92.135,"Caribe"
22.8,-102.57,"Norteamérica"
18.48,-95.84,"Norteamérica"
31.46,-115.19,"Pacífico"
19.18,-108.44,"Rivera"
17.7568,-103.001,"Rivera"
18.1482,-103.306,"Rivera"
14.7587,-93.2403,"Caribe"
18.1327,-103.455,"Rivera"
15.1663,-94.4885,"Caribe"
26.9333,-112.51,"Pacífico"
16.2928,-97.9585,"Cocos"
19.18,-98.31,"Norteamérica"
16.3447,-98.2418,"Cocos"
30.7813,-114.164,"Pacífico"
14.7112,-93.8213,"Caribe"
18.8595,-104.278,"Rivera"
17.28,-94.61,"Cocos"
15.8628,-98.8217,"Cocos"
17.48,-93.86,"Norteamérica"
15.4265,-94.6698,"Cocos"
19.03,-98.62,"Norteamérica"
20.35,-98.92,"Norteamérica"
25.8008,-109.815,"Norteamérica"
15.8002,-93.4785,"Caribe"
18.1555,-103.411,"Rivera"
31.1903,-115.876,"Pacífico"
28.0117,-112.15,"Pacífico"
30.1547,-113.7,"Norteamérica"
19.861,-104.491,"Rivera"
14.44,-93.17,"Caribe"
14.7628,-92.4645,"Caribe"
16.0898,-94.9963,"Cocos"
30.52,-110.984,"Norteamérica"
31.1063,-114.201,"Pacífico"
15.3262,-93.0405,"Caribe"
18.2268,-102.217,"Rivera"
23.65,-100.22,"Norteamérica"
18.2083,-103.475,"Rivera"
15.29,-90.72,"Caribe"
16.8367,-99.7392,"Cocos"
19.3808,-103.806,"Rivera"
16.2362,-98.0293,"Cocos"
17.0215,-94.7123,"Cocos"
31.4447,-114.618,"Pacífico"
27.5293,-111.5,"Norteamérica"
15.9258,-93.5085,"Caribe"
18.24,-101.87,"Rivera"
32.82,-115.63,"Pacífico"
18.73,-104.18,"Rivera"
22.803,-102.584,"Norteamérica"
16.3087,-98.0985,"Cocos"
17.6465,-94.7772,"Norteamérica"
18.38,-97.69,"Norteamérica"
19.2,-99.2,"Norteamérica"
31.52,-115.59,"Pacífico"
17.6278,-95.0193,"Norteamérica"
14.7565,-92.5943,"Caribe"
30.9298,-114.591,"Pacífico"
